Path,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
Path_49,15.1671,15.4809,15.2735,15.1255,15.3388,15.0498,15.1141,15.0541,16.0576,16.0154,15.8114,15.3553,15.3553,15.4193,15.1319,14.4366,14.4366,14.4366,13.8933,14.9183,15.0859,14.8191,14.9668,14.8886,14.6274,15.3963,15.3801,15.7204,15.9280,15.1771,15.0496
Path_50,15.1671,14.7781,15.0253,15.2100,15.2624,14.8642,15.1590,15.1904,15.2427,15.0431,14.3368,14.5358,14.6822,14.6370,14.8092,14.7918,14.7918,14.3313,14.3950,14.4598,14.9371,14.8457,14.4141,14.2831,13.6753,13.6753,13.7884,13.7358,13.5809,13.3347,13.2212
Path_51,15.1671,15.0795,14.7850,14.8005,14.5921,14.9534,14.8659,14.6911,14.2432,15.1703,15.3011,15.0349,15.0349,14.9198,15.0426,14.7071,14.4756,14.1240,13.8972,13.8604,13.6129,13.6129,12.9646,12.8774,12.9050,12.7566,12.6392,12.1103,12.1242,11.9757,12.8761
Path_52,15.1671,15.0976,16.2326,16.0974,15.6572,15.9226,16.8034,16.9000,17.1912,16.8948,16.8948,16.8481,16.8966,16.9563,17.0180,16.9649,17.5367,16.9811,16.7717,16.9399,17.0800,17.5877,17.2491,18.5276,18.9316,18.9316,18.6753,18.4439,18.8424,19.3077,18.8620
Path_53,15.1671,15.3536,15.3536,15.6686,15.8613,15.9605,15.9605,16.0072,16.1154,16.5964,15.8918,15.8441,16.3986,16.0259,15.8895,15.6059,15.2053,14.9551,14.9790,15.0430,14.7661,14.8477,14.7095,14.7095,15.2096,14.8140,14.2344,14.3980,14.4131,14.2735,14.7687
Path_54,15.1671,15.9643,16.6029,16.1114,16.1114,16.2003,16.1198,16.1198,16.2792,16.6723,16.6723,16.4850,16.5080,15.6966,15.6966,15.5578,15.3642,15.8513,15.9812,16.5257,16.7368,16.3953,16.2625,16.2125,16.3460,15.9214,15.6915,15.1080,15.3641,15.5242,15.7454
Path_55,15.1671,15.3528,15.5416,15.1724,15.0323,15.0646,15.2862,15.1270,15.1270,15.1270,15.1604,15.0209,14.8936,15.0828,15.2488,15.4954,16.2703,16.9046,16.3411,15.8712,16.1347,15.8829,15.6630,15.4991,15.4991,15.5710,15.2670,15.2670,14.9130,14.8270,14.3180
Path_56,15.1671,15.1268,15.0788,15.0788,15.2024,15.6543,15.3951,15.3468,15.5828,14.9211,14.0685,13.7240,13.6798,13.8811,14.0829,14.5307,14.1523,13.9958,14.1672,14.0189,14.2872,14.4614,14.4115,14.8973,14.9395,14.8514,14.6580,14.6346,14.6346,14.6346,14.4902
Path_57,15.1671,15.1150,15.0085,15.0085,15.0810,14.6473,14.2750,14.4345,15.2331,15.0965,15.7607,15.8128,14.8056,14.7337,14.7337,14.7800,14.3717,14.6676,14.7539,14.7539,14.5594,14.2995,14.8769,15.4776,15.6481,15.7878,16.1292,15.4218,15.3821,15.3821,15.4367
Path_58,15.1671,15.2018,14.9624,15.4039,15.1383,14.9558,14.9558,14.9114,14.2084,14.1490,14.0182,13.8680,13.7307,13.6239,13.5787,13.5787,13.7217,13.8045,13.7601,13.8163,14.8432,14.5807,14.6668,14.6668,14.9630,15.1278,14.5875,14.6108,14.3106,14.1598,14.1036
Path_59,15.1671,15.6678,15.9941,15.6804,15.2726,15.4648,15.3247,15.3598,15.3598,15.3388,15.5274,15.6708,15.2947,15.0824,15.6657,14.6503,14.4006,14.7333,15.8202,16.1196,16.6396,16.7038,16.5484,16.1752,16.2255,16.0009,15.8074,16.5979,16.5086,16.5774,16.5583
Path_60,15.1671,14.8880,14.6430,14.7641,15.3049,15.2588,15.8256,15.5026,15.5971,15.4239,16.5742,16.4960,16.4960,17.7011,17.8895,17.8895,17.8895,17.7599,17.9801,17.4573,17.9422,17.9422,18.2912,18.4346,18.9793,19.2582,19.1899,18.9878,18.9211,18.8715,19.3104
Path_61,15.1671,14.8938,14.8349,14.5877,14.5877,14.6470,15.0116,15.1892,15.3190,14.5686,15.6640,16.1355,16.2029,15.7623,15.7623,16.0524,16.2264,16.5523,16.7737,16.8315,16.8747,16.8965,16.7461,17.0452,17.4558,17.7831,18.0444,18.4170,18.3952,18.9362,19.1911
